id,InYear,InMonth,InDay,intakedate,intakereason,animalname,breedname,speciesname,AgeYears,AgeMonths,AgeWeeks,animalage,sexname,OutYear,OutDay,OutMonth,movementdate,movementtype,returndate,returnedreason,DeadYear,DeadMonth,DeadDay,deceaseddate,deceasedreason,diedoffshelter,puttosleep
62220,2019,01,29,2019-01-29 12:35:34,Moving,Summer,Great Pyrenees/Anatolian Shepherd,Dog,2,6,,2 years 6 months.,Female,2019,03,01,2019-03-01 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62222,2019,01,29,2019-01-29 16:29:25,Abuse/ neglect,Shadow,Hound,Dog,1,11,,1 year 11 months.,Female,2019,03,25,2019-03-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62224,2019,01,29,2019-01-29 17:04:31,Incompatible with owner lifestyle,Jax,Papillon/Chihuahua,Dog,,6,,6 months.,Male,2019,02,06,2019-02-06 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62225,2019,01,29,2019-01-29 18:27:38,Stray,Jack aka Duke,Hound/Mix,Dog,2,0,,2 years 0 months.,Male,2019,02,04,2019-02-04 00:00:00,Transfer,,Stray,,,,,Court Order/ Legal,0,0
62230,2019,01,30,2019-01-30 13:39:50,Stray,Boxcar Willie,Boxer,Dog,,,18,18 weeks.,Male,2019,02,06,2019-02-06 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62236,2019,01,31,2019-01-31 16:29:23,Unable to Afford,Zeus,Golden Retriever/Irish Setter,Dog,1,1,,1 year 1 month.,Male,2019,04,24,2019-04-24 00:00:00,Transfer,,Stray,,,,,Court Order/ Legal,0,0
62240,2019,02,01,2019-02-01 14:47:46,Stray,Noble,Labrador Retriever,Dog,,9,,9 months.,Male,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62241,2019,02,01,2019-02-01 15:08:06,Moving,Lucy,Boston Terrier,Dog,,7,,7 months.,Female,2019,02,06,2019-02-06 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62243,2019,02,01,2019-02-01 16:44:01,Stray,Archie,Bully Breed Mix/Hound,Dog,5,1,,5 years 1 month.,Male,2019,03,18,2019-03-18 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62244,2019,02,01,2019-02-01 16:44:01,Stray,Jax,American Bulldog/Mix,Dog,1,1,,1 year 1 month.,Male,2019,03,08,2019-03-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62249,2019,02,03,2019-02-03 14:36:06,Stray,Starsky,Labrador Retriever/Mix,Dog,,,18,18 weeks.,Female,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62250,2019,02,03,2019-02-03 14:36:06,Stray,Hutch,Labrador Retriever/Shar Pei,Dog,,,18,18 weeks.,Male,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62252,2019,02,03,2019-02-03 16:08:26,Transfer from Other Shelter,Bluebelle,Bully Breed Mix,Dog,1,5,,1 year 5 months.,Female,2019,04,25,2019-04-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62253,2019,02,04,2019-02-04 04:43:50,Police Assist,Charlie the Chi,Chihuahua,Dog,5,0,,5 years 0 months.,Male,2019,02,08,2019-02-08 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62254,2019,02,04,2019-02-04 11:32:13,Unable to Afford,Coco,Labrador Retriever,Dog,,,23,23 weeks.,Female,2019,03,31,2019-03-31 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62255,2019,02,04,2019-02-04 11:32:13,Unable to Afford,Bear,Labrador Retriever,Dog,,,18,18 weeks.,Male,2019,03,31,2019-03-31 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62259,2019,02,04,2019-02-04 15:27:29,Stray,Karl,Labrador Retriever/Bully Breed Mix,Dog,1,11,,1 year 11 months.,Male,2019,02,15,2019-02-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62260,2019,02,04,2019-02-04 15:53:07,Incompatible with owner lifestyle,Booker,Labrador Retriever/Bull Terrier,Dog,,11,,11 months.,Male,2019,04,15,2019-04-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62261,2019,02,04,2019-02-04 16:24:39,Stray,Maverick,German Shepherd Dog,Dog,,6,,6 months.,Male,2019,02,12,2019-02-12 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62264,2019,02,05,2019-02-05 12:08:13,Unable to Afford,Pearl,English Bulldog,Dog,6,0,,6 years 0 months.,Female,2019,02,06,2019-02-06 00:00:00,Transfer,,Stray,,,,,Court Order/ Legal,0,0
62265,2019,02,05,2019-02-05 12:16:09,Litter relinquishment,Zach Morris,Heeler/German Shepherd Dog,Dog,,,9,9 weeks.,Male,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62266,2019,02,05,2019-02-05 12:16:09,Litter relinquishment,Pepper,Heeler/German Shepherd Dog,Dog,,,25,25 weeks.,Female,2019,05,30,2019-05-30 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62267,2019,02,05,2019-02-05 12:16:09,Litter relinquishment,Toad,Heeler/German Shepherd Dog,Dog,,7,,7 months.,Male,2019,03,11,2019-03-11 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62268,2019,02,05,2019-02-05 12:16:09,Litter relinquishment,Purdy,Heeler/German Shepherd Dog,Dog,,7,,7 months.,Female,2019,07,27,2019-07-27 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62269,2019,02,05,2019-02-05 12:16:09,Litter relinquishment,Screech,Heeler/German Shepherd Dog,Dog,,,9,9 weeks.,Male,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62277,2019,02,05,2019-02-05 17:59:32,Incompatible with owner lifestyle,Kronos,Bully Breed Mix,Dog,5,0,,5 years 0 months.,Male,2019,02,23,2019-02-23 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62279,2019,02,06,2019-02-06 12:08:04,Incompatible with owner lifestyle,Tommy,Dachshund,Dog,5,10,,5 years 10 months.,Male,2019,02,08,2019-02-08 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62282,2019,02,06,2019-02-06 15:32:04,Biting,Lola,Bully Breed Mix,Dog,,8,,8 months.,Female,2019,03,05,2019-03-05 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62286,2019,02,07,2019-02-07 13:06:44,Landlord issues,Tank,Rottweiler/German Shepherd Dog,Dog,,,22,22 weeks.,Male,2019,02,07,2019-02-07 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62288,2019,02,07,2019-02-07 18:12:51,Stray,Wallie,Coonhound,Dog,2,5,,2 years 5 months.,Male,2019,06,02,2019-06-02 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62289,2019,02,07,2019-02-07 21:53:08,Stray,XOCHITL,Mix,Dog,1,0,,1 year 0 months.,Female,2019,02,08,2019-02-08 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
